3.58,	-1.37061,	1.70192,	-0.635976,	-0.103869,	
3.59,	-1.37696,	1.70087,	-0.634663,	-0.105496,	
3.6,	-1.3833,	1.69981,	-0.633349,	-0.107115,	
3.61,	-1.38963,	1.69873,	-0.632034,	-0.108726,	
3.62,	-1.39594,	1.69764,	-0.63072,	-0.110329,	
3.63,	-1.40224,	1.69652,	-0.629405,	-0.111924,	
3.64,	-1.40853,	1.6954,	-0.628089,	-0.113511,	
3.65,	-1.4148,	1.69425,	-0.626774,	-0.115091,	
3.66,	-1.42107,	1.69309,	-0.625458,	-0.116662,	
3.67,	-1.42731,	1.69192,	-0.624142,	-0.118226,	
3.68,	-1.43355,	1.69073,	-0.622826,	-0.119782,	
3.69,	-1.43977,	1.68952,	-0.62151,	-0.121331,	
3.7,	-1.44598,	1.6883,	-0.620194,	-0.122872,	
3.71,	-1.45217,	1.68707,	-0.618877,	-0.124405,	
3.72,	-1.45836,	1.68582,	-0.617561,	-0.125931,	
3.73,	-1.46452,	1.68455,	-0.616244,	-0.127449,	
3.74,	-1.47068,	1.68327,	-0.614927,	-0.12896,	
3.75,	-1.47682,	1.68197,	-0.61361,	-0.130464,	
3.76,	-1.48295,	1.68066,	-0.612293,	-0.13196,	
3.77,	-1.48907,	1.67933,	-0.610976,	-0.133449,	
3.78,	-1.49517,	1.67799,	-0.609659,	-0.134931,	
3.79,	-1.50126,	1.67663,	-0.608342,	-0.136405,	
3.8,	-1.50734,	1.67526,	-0.607025,	-0.137873,	
3.81,	-1.5134,	1.67387,	-0.605708,	-0.139333,	
3.82,	-1.51945,	1.67247,	-0.604391,	-0.140786,	
3.83,	-1.52549,	1.67106,	-0.603074,	-0.142232,	
3.84,	-1.53151,	1.66963,	-0.601757,	-0.143671,	
3.85,	-1.53752,	1.66818,	-0.60044,	-0.145104,	
3.86,	-1.54352,	1.66673,	-0.599123,	-0.146529,	
3.87,	-1.54951,	1.66525,	-0.597807,	-0.147947,	
3.88,	-1.55548,	1.66377,	-0.59649,	-0.149359,	
3.89,	-1.56144,	1.66227,	-0.595174,	-0.150764,	
3.9,	-1.56738,	1.66075,	-0.593858,	-0.152162,	
3.91,	-1.57331,	1.65922,	-0.592541,	-0.153553,	
3.92,	-1.57923,	1.65768,	-0.591226,	-0.154937,	
3.93,	-1.58514,	1.65612,	-0.58991,	-0.156315,	
3.94,	-1.59103,	1.65455,	-0.588594,	-0.157687,	
3.95,	-1.59691,	1.65297,	-0.587279,	-0.159052,	
3.96,	-1.60278,	1.65137,	-0.585963,	-0.16041,	
3.97,	-1.60863,	1.64976,	-0.584648,	-0.161762,	
3.98,	-1.61447,	1.64814,	-0.583334,	-0.163107,	
3.99,	-1.6203,	1.6465,	-0.582019,	-0.164446,	
4,	-1.62611,	1.64485,	-0.580705,	-0.165778,	
4.01,	-1.63191,	1.64318,	-0.579391,	-0.167105,	
4.02,	-1.6377,	1.64151,	-0.578077,	-0.168424,	
4.03,	-1.64347,	1.63981,	-0.576764,	-0.169738,	
4.04,	-1.64923,	1.63811,	-0.57545,	-0.171045,	
4.05,	-1.65498,	1.63639,	-0.574137,	-0.172346,	
4.06,	-1.66071,	1.63466,	-0.572825,	-0.173641,	
4.07,	-1.66644,	1.63292,	-0.571513,	-0.17493,	
4.08,	-1.67214,	1.63117,	-0.570201,	-0.176213,	
4.09,	-1.67784,	1.6294,	-0.568889,	-0.17749,	
4.1,	-1.68352,	1.62762,	-0.567578,	-0.17876,	
4.11,	-1.68919,	1.62582,	-0.566267,	-0.180025,	
4.12,	-1.69485,	1.62401,	-0.564956,	-0.181284,	
4.13,	-1.70049,	1.6222,	-0.563646,	-0.182536,	
4.14,	-1.70612,	1.62036,	-0.562336,	-0.183783,	
4.15,	-1.71174,	1.61852,	-0.561026,	-0.185024,	
4.16,	-1.71734,	1.61666,	-0.559717,	-0.186259,	
4.17,	-1.72293,	1.61479,	-0.558409,	-0.187488,	
4.18,	-1.72851,	1.61291,	-0.5571,	-0.188712,	
4.19,	-1.73407,	1.61102,	-0.555792,	-0.18993,	
4.2,	-1.73962,	1.60911,	-0.554485,	-0.191142,	
4.21,	-1.74516,	1.6072,	-0.553178,	-0.192348,	
4.22,	-1.75069,	1.60527,	-0.551871,	-0.193549,	
4.23,	-1.7562,	1.60333,	-0.550565,	-0.194744,	
4.24,	-1.7617,	1.60137,	-0.549259,	-0.195934,	
4.25,	-1.76718,	1.59941,	-0.547954,	-0.197118,	
4.26,	-1.77266,	1.59743,	-0.546649,	-0.198296,	
4.27,	-1.77812,	1.59544,	-0.545345,	-0.199469,	
4.28,	-1.78356,	1.59344,	-0.544041,	-0.200637,	
4.29,	-1.789,	1.59143,	-0.542737,	-0.201799,	
4.3,	-1.79442,	1.5894,	-0.541434,	-0.202955,	
4.31,	-1.79983,	1.58737,	-0.540132,	-0.204106,	
4.32,	-1.80522,	1.58532,	-0.53883,	-0.205252,	
4.33,	-1.8106,	1.58326,	-0.537528,	-0.206393,	
4.34,	-1.81597,	1.58119,	-0.536227,	-0.207528,	
